id,latitude,longitude,image,confidence
665,42.3509371956,-5.7367032006,665.png,0.65451
693,42.3509364758,-5.7367069104,693.png,0.60514
702,42.3509414181,-5.7367033027,702.png,0.67904
753,42.3509264811,-5.7367018267,753.png,0.64451
765,42.3509262102,-5.7367008191,765.png,0.68736
781,42.3509318342,-5.7366987326,781.png,0.67816
794,42.3509261824,-5.7366991057,794.png,0.69136
798,42.3509250670,-5.7366982303,798.png,0.63373
827,42.3509271357,-5.7366983953,827.png,0.84018
830,42.3509213847,-5.7366941190,830.png,0.68736
840,42.3509096835,-5.7366972469,840.png,0.60480
841,42.3509213566,-5.7366971382,841.png,0.75305
845,42.3509198702,-5.7366980207,845.png,0.76793
846,42.3509144703,-5.7366980618,846.png,0.75707
849,42.3509148645,-5.7366960892,849.png,0.84537
833,42.3509153562,-5.7366982321,833.png,0.81752
870,42.3509122792,-5.7366942931,870.png,0.68183
892,42.3509113813,-5.7366925834,892.png,0.61471
907,42.3509008698,-5.7366919662,907.png,0.74749
953,42.3509016114,-5.7366887811,953.png,0.78883
992,42.3508924841,-5.7366874759,992.png,0.74641
1009,42.3508974743,-5.7366877377,1009.png,0.75320
1010,42.3508970964,-5.7366847302,1010.png,0.75621
1011,42.3508945016,-5.7366863759,1011.png,0.81457
1104,42.3508841791,-5.7366829619,1104.png,0.65225
1062,42.3508859017,-5.7366832773,1062.png,0.77730
1123,42.3508785139,-5.7366856383,1123.png,0.86853
1128,42.3508794500,-5.7366825414,1128.png,0.69852
1153,42.3508790651,-5.7366809614,1153.png,0.63790
1129,42.3508737744,-5.7366807195,1129.png,0.80903
1213,42.3508688188,-5.7366796835,1213.png,0.83422
1185,42.3508744227,-5.7366808684,1185.png,0.78757
1240,42.3508740812,-5.7366809781,1240.png,0.70294
1247,42.3508702993,-5.7366753656,1247.png,0.66019
1261,42.3508694615,-5.7366758289,1261.png,0.74342
1259,42.3508597300,-5.7366775635,1259.png,0.83494
1276,42.3508652891,-5.7366734953,1276.png,0.65674
1299,42.3508610221,-5.7366710728,1299.png,0.71504
1303,42.3508617840,-5.7366730525,1303.png,0.60566
1286,42.3508545534,-5.7366735736,1286.png,0.68590
1293,42.3508559458,-5.7366742491,1293.png,0.65543
1310,42.3508616835,-5.7366742247,1310.png,0.71497
1311,42.3508573185,-5.7366709715,1311.png,0.61962
1332,42.3508472205,-5.7366702926,1332.png,0.62720
1387,42.3508499997,-5.7366670537,1387.png,0.69462
1385,42.3508395846,-5.7366644487,1385.png,0.70566
1382,42.3508448388,-5.7366633708,1382.png,0.63261
1383,42.3508395857,-5.7366625802,1383.png,0.78223
1401,42.3508450619,-5.7366619881,1401.png,0.61300
1413,42.3508444683,-5.7366628918,1413.png,0.61593
1427,42.3508315763,-5.7366347442,1427.png,0.86543
1445,42.3508403628,-5.7366610537,1445.png,0.70032
1459,42.3508306326,-5.7366378555,1459.png,0.74953
1464,42.3508377804,-5.7366630618,1464.png,0.69855
1474,42.3508262039,-5.7366615761,1474.png,0.62423
1503,42.3508321597,-5.7366621914,1503.png,0.63280
1505,42.3508212524,-5.7366590265,1505.png,0.85217
1564,42.3508269160,-5.7366596801,1564.png,0.61307
1591,42.3508242942,-5.7366572285,1591.png,0.69785
1604,42.3508232655,-5.7366561381,1604.png,0.68664
1642,42.3508174452,-5.7366527604,1642.png,0.70523
1645,42.3508176915,-5.7366582989,1645.png,0.62798
1652,42.3508232670,-5.7366569539,1652.png,0.66093
1674,42.3508061192,-5.7366502892,1674.png,0.66467
1667,42.3508183965,-5.7366560352,1667.png,0.65759
1692,42.3508070162,-5.7366558023,1692.png,0.82444
1725,42.3508156648,-5.7366537105,1725.png,0.83748
1746,42.3508045412,-5.7366542258,1746.png,0.61177
1756,42.3507992721,-5.7366500595,1756.png,0.64956
1744,42.3508098593,-5.7366519852,1744.png,0.71126
1816,42.3508053920,-5.7366505650,1816.png,0.81453
1814,42.3507952129,-5.7366461832,1814.png,0.60875
1847,42.3507885961,-5.7366506951,1847.png,0.72151
1830,42.3507883099,-5.7366496689,1830.png,0.66457
1855,42.3507989794,-5.7366483206,1855.png,0.66154
1857,42.3507958397,-5.7366499405,1857.png,0.68413
1862,42.3507902961,-5.7366498872,1862.png,0.70198
1890,42.3507852148,-5.7366472958,1890.png,0.69440
1877,42.3507913801,-5.7366454403,1877.png,0.67821
